"Mineral Name","Mineral Name (plain)","RRUFF Chemistry (concise)","IMA Chemistry (concise)"
"Abellaite","Abellaite","NaPb^2+^_2_(CO_3_)_2_(OH)","NaPb_2_(CO_3_)_2_(OH)"
"Abelsonite","Abelsonite","Ni^2+^C_31_H_32_N_4_","NiC_31_H_32_N_4_"
"Abenakiite-(Ce)","Abenakiite-(Ce)","Na_26_Ce^3+^_6_(SiO_3_)_6_(P^5+^O_4_)_6_(C^4+^O_3_)_6_(S^4+^O_2_)O","Na_26_Ce_6_(Si_6_O_18_)(PO_4_)_6_(CO_3_)_6_(SO_2_)O"
"Abernathyite","Abernathyite","K(U^6+^O_2_)As^5+^O_4_·3H_2_O","K(UO_2_)(AsO_4_)·3H_2_O"
"Abhurite","Abhurite","Sn^2+^_21_O_6_(OH)_14_Cl_16_","Sn^2+^_21_O_6_(OH)_14_Cl_16_"
"Abramovite","Abramovite","Pb_2_SnInBiS_7_","Pb_2_SnInBiS_7_"
"Abswurmbachite","Abswurmbachite","Cu^2+^Mn^3+^_6_O_8_(SiO_4_)","Cu^2+^Mn^3+^_6_O_8_(SiO_4_)"
"Abuite","Abuite","CaAl_2_(PO_4_)_2_F_2_","CaAl_2_(PO_4_)_2_F_2_"
"Acanthite","Acanthite","Ag^1+^_2_S^2-^","Ag_2_S"
"Acetamide","Acetamide","CH_3_CONH_2_","CH_3_CONH_2_"
"Achalaite","Achalaite","Fe^2+^Ti^4+^Nb^5+^_2_O_8_","Fe^2+^TiNb_2_O_8_"
"Achávalite","Achavalite","FeSe","FeSe"
"Achyrophanite","Achyrophanite","(K,Na)_3_(Fe^3+^,Ti,Al,Mg)_5_O_2_(As^5+^O_4_)_5_","(K,Na)_3_(Fe^3+^,Ti,Al,Mg)_5_O_2_(AsO_4_)_5_"
"Acmonidesite","Acmonidesite","(N^3-^H_4_,K,Pb,Na)_9_Fe^2+^_4_(S^6+^O_4_)_5_Cl_8_","(NH_4_,K,Pb,Na)_9_Fe^2+^_4_(SO_4_)_5_Cl_8_"
"Actinolite","Actinolite","Ca_2_(Mg_4.5-2.5_Fe^2+^_0.5-2.5_)Si_8_O_22_(OH)_2_","[box]Ca_2_(Mg_4.5-2.5_Fe^2+^_0.5-2.5_)Si_8_O_22_(OH)_2_"
"Acuminite","Acuminite","SrAlF_4_(OH)·H_2_O","SrAlF_4_(OH)·H_2_O"
"Adachiite","Adachiite","CaFe^2+^_3_Al_6_(Si_5_AlO_18_)(BO_3_)_3_(OH)_3_(OH)","CaFe^2+^_3_Al_6_(Si_5_AlO_18_)(BO_3_)_3_(OH)_3_(OH)"
"Adamite","Adamite","Zn^2+^_2_As^5+^O_4_(OH)","Zn_2_(AsO_4_)(OH)"
"Adamsite-(Y)","Adamsite-(Y)","NaY^3+^(CO_3_)_2_·6H_2_O","NaY(CO_3_)_2_·6H_2_O"
"Addibischoffite","Addibischoffite","Ca_2_Al_6_Al_6_O_20_","Ca_2_Al_6_Al_6_O_20_"
"Adelite","Adelite","CaMgAs^5+^O_4_(OH)","CaMg(AsO_4_)(OH)"
"Admontite","Admontite","MgB_6_O_10_·7H_2_O","MgB_6_O_10_·7H_2_O"
"Adolfpateraite","Adolfpateraite","K(U^6+^O_2_)(S^6+^O_4_)(OH)(H_2_O)","K(UO_2_)(SO_4_)(OH)(H_2_O)"
