      Marsturite
      Nagashima M, Armbruster T, Kolitsch U, Pettke T
      American Mineralogist 99 (2014) 1462-1470
      The relation between Li <-> Na substitution and hydrogen bonding in five-periodic
      single-chain silicates nambulite and marsturite: A single-crystal X-ray study
      Locality: Molinello mine, Liguria, Italy
      _database_code_amcsd 0020225
      CELL PARAMETERS:   7.6970 11.7200  6.7710   92.400   94.410  106.830
      SPACE GROUP: P-1       
      X-RAY WAVELENGTH:     1.790290
      Cell Volume:    581.593
      Density (g/cm3):      3.469
      MAX. ABS. INTENSITY / VOLUME**2:      6.179466375    
      RIR:      0.832
      RIR based on corundum from Acta Crystallographica A38 (1982) 733-739
               2-THETA      INTENSITY    D-SPACING   H   K   L   Multiplicity
                 9.17          1.54       11.1926    0   1   0         2
                14.02          2.27        7.3353    1   0   0         2
                14.33         21.69        7.1780   -1   1   0         2
                15.27         19.70        6.7357    0   0   1         2
                19.79          2.39        5.2087   -1   0   1         2
                20.49          1.61        5.0338   -1   1   1         2
                21.50         11.07        4.7982    1  -1   1         2
                23.14          1.02        4.4625   -1  -1   1         2
                24.91          5.06        4.1510   -1   2   1         2
                26.35          1.21        3.9274    1   2   0         2
                27.00          4.07        3.8347   -2   1   0         2
                27.19          4.03        3.8083   -1   3   0         2
                28.89          9.12        3.5890   -2   2   0         2
                30.13          1.41        3.4443   -2   1   1         2
                30.83          7.50        3.3678    0   0   2         2
                30.95          5.28        3.3549   -2   0   1         2
                31.05          2.35        3.3443    1  -3   1         2
                32.17          2.74        3.2309    2  -1   1         2
                32.31          3.36        3.2168    2   1   0         2
                32.75         42.38        3.1748   -1   0   2         2
                32.84         15.46        3.1668    0   1   2         2
                33.43          5.68        3.1124   -2   3   0         2
                33.49          6.18        3.1068   -1   1   2         2
                33.50         27.63        3.1062    2  -2   1         2
                34.67         26.82        3.0044   -1  -1   2         2
                34.79         53.69        2.9942    1  -1   2         2
                34.85          1.72        2.9894    1   3   0         2
                35.02         14.28        2.9753    0  -2   2         2
                35.23          1.66        2.9580    1   0   2         2
                35.76        100.00        2.9152   -1   4   0         2
                36.86          2.33        2.8311    1  -2   2         2
                37.24          1.53        2.8036    0   2   2         2
                37.27          1.53        2.8010    2  -3   1         2
                38.11          5.40        2.7421    1   1   2         2
                38.39         86.86        2.7226    2   2   0         2
                38.60          1.19        2.7082    1  -4   1         2
                39.52          1.72        2.6479    0  -4   1         2
                39.58         17.95        2.6438   -1   4   1         2
                39.81         26.27        2.6292   -2   1   2         2
                39.98          6.46        2.6185   -2  -2   1         2
                40.21          2.15        2.6044   -2   0   2         2
                41.10          9.03        2.5501   -3   1   0         2
                41.44         25.06        2.5299   -3   2   0         2
                41.67          1.13        2.5169   -2   2   2         2
                43.00         19.63        2.4422    1   2   2         2
                43.06          2.11        2.4394    2   2   1         2
                43.41          3.51        2.4203    0   3   2         2
                43.82          2.81        2.3991    2  -2   2         2
                43.94          2.09        2.3927   -3   3   0         2
                44.32          1.34        2.3731    2   0   2         2
                44.88          2.80        2.3451   -1  -3   2         2
                45.33          1.66        2.3229    3  -1   1         2
                45.82          1.04        2.2994    2   3   0         2
                46.66          1.09        2.2601    2  -3   2         2
                46.79         11.46        2.2546    3   1   0         2
                47.30          1.67        2.2312   -2  -2   2         2
                47.32          3.29        2.2305    0  -1   3         2
                47.40         15.14        2.2271    0  -4   2         2
                47.49         17.67        2.2233   -2   5   0         2
                47.90         25.54        2.2051   -1   0   3         2
                48.17          1.00        2.1933    1   4   1         2
                48.32          4.94        2.1870   -3   4   0         2
                48.64          1.65        2.1734    0   1   3         2
                48.66          1.05        2.1728   -1   1   3         2
                48.75          1.24        2.1690   -1   4   2         2
                48.76          1.39        2.1684    0  -5   1         2
                49.60          2.27        2.1339    0  -2   3         2
                50.01         13.00        2.1177    2  -5   1         2
                50.14          2.32        2.1126    2   3   1         2
                50.72          4.94        2.0900   -3   2   2         2
                51.06         16.74        2.0768    3   1   1         2
                53.07          3.93        2.0035   -2   1   3         2
                55.43          4.98        1.9249    0  -5   2         2
                55.97          1.22        1.9078    3  -3   2         2
                56.18          1.32        1.9010   -4   1   0         2
                56.63          5.23        1.8871   -1   5   2         2
                56.91          3.74        1.8788   -4   3   0         2
                57.08          1.23        1.8735    1   4   2         2
                57.12          2.83        1.8725    1   2   3         2
                57.23          1.39        1.8690    0   3   3         2
                57.39          2.14        1.8643    2  -5   2         2
                57.52          1.15        1.8605   -3   4   2         2
                58.18          3.35        1.8410   -2   3   3         2
                58.25          1.78        1.8392   -4   3   1         2
                58.44          1.03        1.8338    4   0   0         2
                58.78          3.26        1.8240   -3  -2   2         2
                59.05          3.22        1.8165    2   3   2         2
                59.31          1.55        1.8091    0   5   2         2
                59.32          1.33        1.8090    3  -4   2         2
                59.90          3.64        1.7930    3   1   2         2
================================================================================
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
