      Gravegliaite
      Basso R, Lucchetti G, Palenzona A
      Zeitschrift fur Kristallographie 197 (1991) 97-106
      Gravegliaite, MnSO3*3H2O, a new mineral from Val Graveglia
      (Northern Apennines, Italy)
      Locality: Gambatesa mine, Val Graveglia, Northern Apennines, Italy
      _database_code_amcsd 0011006
      CELL PARAMETERS:   9.7630  5.6350  9.5580   90.000   90.000   90.000
      SPACE GROUP: Pnma      
      X-RAY WAVELENGTH:     1.790290
      Cell Volume:    525.829
      Density (g/cm3):      2.388
      MAX. ABS. INTENSITY / VOLUME**2:      5.126602444    
      RIR:      1.002
      RIR based on corundum from Acta Crystallographica A38 (1982) 733-739
               2-THETA      INTENSITY    D-SPACING   H   K   L   Multiplicity
                15.06         96.13        6.8299    1   0   1         4
                21.13         14.57        4.8815    2   0   0         2
                21.25          1.75        4.8542    0   1   1         4
                21.59         43.09        4.7790    0   0   2         2
                23.77         40.00        4.3473    2   0   1         4
                23.77        100.00        4.3466    1   1   1         8
                24.07         52.49        4.2923    1   0   2         4
                28.08          3.78        3.6896    2   1   0         4
                30.15         51.47        3.4420    2   1   1         8
                30.39         15.68        3.4149    2   0   2         4
                30.40         58.86        3.4146    1   1   2         8
                34.38         22.64        3.0288    1   0   3         4
                35.70         16.21        2.9205    2   1   2         8
                37.05         15.74        2.8175    0   2   0         2
                38.68         63.34        2.7031    3   1   1         8
                38.88          1.07        2.6899    3   0   2         4
                39.21         40.29        2.6680    2   0   3         4
                39.21          5.96        2.6678    1   1   3         8
                40.20         42.40        2.6046    1   2   1         8
                43.03          7.28        2.4407    4   0   0         2
                43.04          2.89        2.4402    2   2   0         4
                43.28          4.30        2.4275    3   1   2         8
                43.28          4.41        2.4271    0   2   2         4
                43.58         62.63        2.4114    2   1   3         8
                44.00          1.51        2.3895    0   0   4         2
                44.49         19.14        2.3644    2   2   1         8
                44.67         18.67        2.3554    1   2   2         8
                45.37          1.56        2.3210    1   0   4         4
                46.31          1.98        2.2766    3   0   3         4
                47.12         12.90        2.2397    4   1   0         4
                48.47          1.89        2.1806    4   1   1         8
                48.64          4.42        2.1737    4   0   2         4
                48.65          3.62        2.1733    2   2   2         8
                49.30          2.11        2.1462    2   0   4         4
                50.18          3.41        2.1109    3   1   3         8
                51.00          7.44        2.0791    3   2   1         8
                51.43          3.73        2.0629    1   2   3         8
                52.39          9.29        2.0280    4   1   2         8
                54.79          3.75        1.9456    3   2   2         8
                55.04          2.53        1.9373    2   2   3         8
                55.39         11.63        1.9261    3   0   4         4
                57.00          2.19        1.8760    1   0   5         4
                58.05         11.95        1.8448    4   2   0         4
                58.11          1.24        1.8431    0   3   1         4
                58.49         14.91        1.8323    4   1   3         8
                58.83          6.22        1.8225    3   1   4         8
                59.23          1.13        1.8115    5   1   1         8
                59.24         11.66        1.8111    1   3   1         8
                59.27          9.40        1.8103    0   1   5         4
                59.37          4.98        1.8075    5   0   2         4
                59.96         35.79        1.7914    1   2   4         8
================================================================================
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
