      Killalaite
      Armbruster T, Lazic B, Galuskina I O, Galuskin E V, Gnos E, Marzec K M, Gazeev V M
      Mineralogical Magazine 76 (2012) 455-472
      Trabzonite, Ca4[Si3O9(OH)]OH: crystal structure, revised formula, new occurrence
      and relation to killalaite
      Locality: Northern Caucasus, Russia
      _database_code_amcsd 0018997
      CELL PARAMETERS:   6.8240 15.4650  6.8390   90.000   97.692   90.000
      SPACE GROUP: P2_1/m    
      X-RAY WAVELENGTH:     1.790290
      Cell Volume:    715.247
      Density (g/cm3):      2.902
      MAX. ABS. INTENSITY / VOLUME**2:      4.958874439    
      RIR:      0.798
      RIR based on corundum from Acta Crystallographica A38 (1982) 733-739
               2-THETA      INTENSITY    D-SPACING   H   K   L   Multiplicity
                13.30         11.33        7.7325    0   2   0         2
                15.21         15.97        6.7626    1   0   0         2
                20.23          1.69        5.0968    0   2   1         4
                20.26         28.27        5.0905    1   2   0         4
                21.14          6.26        4.8808   -1   1   1         4
                22.97          4.75        4.4957    1   0   1         2
                23.93          1.22        4.3170    1   1   1         4
                25.22          1.05        4.0997    1   3   0         4
                26.63          3.10        3.8866    1   2   1         4
                26.77         27.28        3.8663    0   4   0         2
                30.63          3.00        3.3887    0   0   2         2
                30.64          4.56        3.3882    1   3   1         4
                30.70         25.54        3.3813    2   0   0         2
                30.94         10.27        3.3564    1   4   0         4
                31.38         15.07        3.3102    0   1   2         4
                32.42          3.02        3.2064   -1   0   2         2
                32.47         24.51        3.2017   -2   0   1         2
                33.13          2.50        3.1396   -1   1   2         4
                33.53          4.64        3.1038    0   2   2         4
                33.59         51.23        3.0980    2   2   0         4
                35.23          6.90        2.9581   -2   2   1         4
                36.27         16.90        2.8758    2   0   1         2
                36.86        100.00        2.8317    0   3   2         4
                36.87         10.59        2.8306    1   1   2         4
                36.92          8.52        2.8273    2   3   0         4
                36.92         10.67        2.8273    2   1   1         4
                37.10          1.03        2.8138    0   5   1         4
                37.11          2.18        2.8128    1   5   0         4
                38.39         37.10        2.7227   -1   3   2         4
                38.43          9.51        2.7198   -2   3   1         4
                38.75          1.39        2.6982    1   2   2         4
                39.47          7.07        2.6507   -1   5   1         4
                40.64         41.85        2.5775    0   6   0         2
                40.74          3.77        2.5719   -2   0   2         2
                41.13          2.91        2.5484    0   4   2         4
                41.13          1.73        2.5482    1   5   1         4
                41.18         23.73        2.5452    2   4   0         4
                41.32         10.76        2.5370   -2   1   2         4
                41.76          9.04        2.5114    2   3   1         4
                42.53          6.48        2.4681   -1   4   2         4
                43.04          4.94        2.4404   -2   2   2         4
                43.62          2.09        2.4092    0   6   1         4
                43.64          1.04        2.4085    1   6   0         4
                45.62         10.40        2.3092    1   4   2         4
                45.65          8.25        2.3075    2   4   1         4
                45.72          4.69        2.3044   -1   6   1         4
                45.78          2.19        2.3013   -2   3   2         4
                46.14          2.34        2.2845    0   5   2         4
                46.69          4.94        2.2592    0   0   3         2
                46.79         17.26        2.2542    3   0   0         2
                47.21          3.35        2.2354    0   1   3         4
                47.23          2.92        2.2345   -1   0   3         2
                47.32          8.85        2.2306    3   1   0         4
                47.33          7.70        2.2303   -3   0   1         2
                47.42          5.79        2.2261   -1   5   2         4
                47.46          3.36        2.2245   -2   5   1         4
                47.46          4.76        2.2245    2   1   2         4
                47.75          6.71        2.2116   -1   1   3         4
                48.76          3.88        2.1685    0   2   3         4
                49.29          3.86        2.1467   -1   2   3         4
                49.42          3.35        2.1414   -2   4   2         4
                50.27          5.35        2.1074    1   5   2         4
                50.45          1.30        2.1005    0   7   1         4
                51.27          1.05        2.0692    0   3   3         4
                51.50          4.59        2.0605    2   3   2         4
                51.79         13.38        2.0499    2   6   0         4
                51.87          1.20        2.0469   -3   3   1         4
                52.33          6.17        2.0300   -1   7   1         4
                52.92          1.37        2.0089   -1   6   2         4
                52.96          4.58        2.0077   -2   6   1         4
                53.50          1.33        1.9888    3   2   1         4
                53.52          1.04        1.9881   -3   1   2         4
                53.67          1.75        1.9828    1   7   1         4
                53.83         10.92        1.9775   -2   5   2         4
                54.63          3.34        1.9506    0   4   3         4
                54.73          2.70        1.9474    3   4   0         4
                54.94          1.45        1.9405   -3   2   2         4
                55.12          3.22        1.9346   -1   4   3         4
                55.17          3.59        1.9331    0   8   0         2
                55.57          4.57        1.9204    1   6   2         4
                55.60          8.19        1.9194    2   6   1         4
                55.77          2.12        1.9141    1   3   3         4
                57.20          2.95        1.8699   -2   3   3         4
                57.58          1.52        1.8587    1   8   0         4
                57.85          5.38        1.8507    0   7   2         4
                58.96          1.16        1.8190    1   4   3         4
                58.98          4.38        1.8184    2   5   2         4
                59.32          3.68        1.8090   -3   5   1         4
================================================================================
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
