      Carbobystrite
      Khomyakov A P, Camara F, Sokolova E
      The Canadian Mineralogist 48 (2010) 291-300
      Carbobystrite, Na8[Al6Si6O24](CO3)*4H2O, a new cancrinite-group mineral species
      from the Khibina Alkaline massif, Kola Peninsula, Russia: Description and crystal structure
      Locality: the Khibina Alkaline massif, Kola Peninsula, Russia
      _database_code_amcsd 0006331
      CELL PARAMETERS:  12.6678 12.6678 10.3401   90.000   90.000  120.000
      SPACE GROUP: P31c      
      X-RAY WAVELENGTH:     1.790290
      Cell Volume:   1437.003
      Density (g/cm3):      2.386
      MAX. ABS. INTENSITY / VOLUME**2:      4.458815750    
      RIR:      0.872
      RIR based on corundum from Acta Crystallographica A38 (1982) 733-739
               2-THETA      INTENSITY    D-SPACING   H   K   L   Multiplicity
                13.66          6.51        7.5246    1   0   1         6
                16.25         53.07        6.3339    1   1   0         3
                18.78          1.41        5.4853    2   0   0         6
                19.94          3.47        5.1701    0   0   2         1
                21.29          4.67        4.8457    2   0   1         6
                22.07         71.58        4.6767    1   0   2         6
                24.93          4.11        4.1465    2   1   0         6
                25.83          6.13        4.0052    2  -1   2         3
                26.90         25.31        3.8486    3  -1   1         6
                26.90         19.98        3.8486    2   1   1         6
                27.53          6.69        3.7623    2   0   2         6
                28.34         56.89        3.6569    3   0   0         6
                30.10          4.28        3.4476    3   0   1         6
                31.59         24.09        3.2882    1   0   3         6
                32.13         49.54        3.2347    2   1   2         6
                32.13         50.46        3.2347    3  -1   2         6
                34.22          4.96        3.0427    3   1   0         6
                35.72          2.74        2.9190    3   1   1         6
                35.72          2.57        2.9190    4  -1   1         6
                38.10         12.38        2.7427    4   0   0         6
                38.72          1.92        2.7006    4  -2   2         3
                38.72          1.12        2.7006    2   2   2         3
                39.47         54.49        2.6510    4   0   1         6
                39.48          9.14        2.6506    2   1   3         6
                39.48          7.79        2.6506    3  -1   3         6
                39.92         12.66        2.6223    3   1   2         6
                39.92         10.77        2.6223    4  -1   2         6
                40.52         20.31        2.5850    0   0   4         1
                41.68          8.42        2.5161    1   0   4         6
                41.82          8.61        2.5082    3   0   3         6
                42.94          1.62        2.4454    5  -2   1         6
                42.94          1.10        2.4454    3   2   1         6
                43.36         23.20        2.4228    4   0   2         6
                43.91          2.47        2.3940    4   1   0         6
                43.93          6.08        2.3934    1   1   4         3
                43.93          6.13        2.3934    2  -1   4         3
                45.14          1.31        2.3323    5  -1   1         6
                45.14          1.13        2.3323    4   1   1         6
                46.60          8.13        2.2629    5  -2   2         6
                46.60          6.88        2.2629    3   2   2         6
                49.30          6.58        2.1463    5   0   1         6
                49.30          1.89        2.1461    4   0   3         6
                50.17         13.19        2.1113    3   3   0         3
                50.18         13.02        2.1109    3   0   4         6
                52.26          3.46        2.0326    5  -2   3         6
                52.26          3.16        2.0326    3   2   3         6
                52.62          6.97        2.0198    5   0   2         6
                54.16          2.21        1.9662    5  -1   3         6
                54.16          2.53        1.9662    4   1   3         6
                54.51          1.26        1.9546    3   3   2         3
                55.09          1.15        1.9356    6  -1   1         6
                55.44          2.14        1.9243    6  -2   2         6
                55.44          1.51        1.9243    4   2   2         6
                56.83          2.60        1.8811    4   0   4         6
                58.18          1.51        1.8412    6  -1   2         6
                58.18          1.03        1.8412    5   1   2         6
                59.52          1.56        1.8033    5  -2   4         6
                59.52          2.78        1.8033    3   2   4         6
                59.62          2.22        1.8005    6   0   1         6
                59.64          1.80        1.8001    3   0   5         6
================================================================================
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
