      Palygorskite
      Guistetto R, Chiari G
      European Journal of Mineralogy 16 (2004) 521-532
      Crystal structure refinement of palygorskite from neutron powder diffraction
      Locality: Lorenzo Pech mine, near Ticul, on the way to Chapab, Chiapas, Mexico
      Note: Occupancies created to match reported formula
      _database_code_amcsd 0007075
      CELL PARAMETERS:  12.6720 17.8750  5.2360   90.000   90.000   90.000
      SPACE GROUP: Pbmn      
      X-RAY WAVELENGTH:     1.790290
      Cell Volume:   1186.017
      Density (g/cm3):      2.399
      MAX. ABS. INTENSITY / VOLUME**2:      7.151472933    
      RIR:      1.391
      RIR based on corundum from Acta Crystallographica A38 (1982) 733-739
               2-THETA      INTENSITY    D-SPACING   H   K   L   Multiplicity
                 9.93        100.00       10.3378    1   1   0         4
                16.24         39.85        6.3360    2   0   0         2
                19.11         17.81        5.3920    1   3   0         4
                19.69          1.54        5.2360    0   0   1         2
                19.95          3.94        5.1689    2   2   0         4
                22.10          3.28        4.6710    1   1   1         8
                23.11         14.88        4.4688    0   4   0         2
                24.29         25.39        4.2554    1   2   1         8
                25.63          2.28        4.0362    2   0   1         4
                28.17         10.52        3.6785    2   2   1         8
                28.38         16.23        3.6518    2   4   0         4
                30.11          6.69        3.4459    3   3   0         4
                30.16          2.76        3.4407    1   5   0         4
                30.54          3.98        3.3991    0   4   1         4
                31.08          7.14        3.3416    2   3   1         8
                32.14          8.13        3.2333    3   1   1         8
                32.83          8.81        3.1680    4   0   0         2
                33.73         26.77        3.0855    3   2   1         8
                36.28          3.80        2.8754    1   5   1         8
                38.30          2.25        2.7288    3   5   0         4
                39.08         12.62        2.6762    2   5   1         8
                39.99          7.92        2.6180    0   0   2         2
                40.38          2.63        2.5938    4   2   1         8
                40.45          7.74        2.5894    0   6   1         4
                40.53          1.49        2.5844    4   4   0         4
                40.87          4.84        2.5639    1   0   2         4
                41.31          1.70        2.5379    1   1   2         8
                41.32         20.94        2.5369    1   6   1         8
                42.55          4.12        2.4672    4   3   1         8
                43.43          1.93        2.4196    2   0   2         4
                43.86          2.96        2.3969    2   6   1         8
                45.14          1.63        2.3322    5   3   0         4
                47.07          2.92        2.2418    2   3   2         8
                47.23          2.35        2.2344    0   8   0         2
                47.44          2.32        2.2253    3   0   2         4
                47.47          1.67        2.2238    1   4   2         8
                47.78          1.70        2.2104    5   2   1         8
                47.84          1.92        2.2076    3   6   1         8
                48.97          1.95        2.1599    4   5   1         8
                48.98          2.42        2.1593    3   2   2         8
                49.69          2.31        2.1304    5   3   1         8
                50.15          6.22        2.1120    6   0   0         2
                50.86          4.21        2.0846    3   3   2         8
                51.64          1.11        2.0554    6   2   0         4
                54.74          2.13        1.9470    6   1   1         8
                54.86          1.29        1.9433    1   6   2         8
                57.58          1.43        1.8586    4   7   1         8
                59.24          1.23        1.8112    5   6   1         8
                59.60          1.03        1.8011    7   1   0         4
================================================================================
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
