      Trabzonite
      Armbruster T, Lazic B, Galuskina I O, Galuskin E V, Gnos E, Marzec K M, Gazeev V M
      Mineralogical Magazine 76 (2012) 455-472
      Trabzonite, Ca4[Si3O9(OH)]OH: crystal structure, revised formula, new occurrence
      and relation to killalaite
      Locality: Ikizdere, Turkey
      _database_code_amcsd 0018996
      CELL PARAMETERS:  20.5805 10.3240  9.1053   90.000   90.000   90.000
      SPACE GROUP: Ama2      
      X-RAY WAVELENGTH:     1.790290
      Cell Volume:   1934.631
      Density (g/cm3):      2.901
      MAX. ABS. INTENSITY / VOLUME**2:      4.104531589    
      RIR:      0.660
      RIR based on corundum from Acta Crystallographica A38 (1982) 733-739
               2-THETA      INTENSITY    D-SPACING   H   K   L   Multiplicity
                 9.98         17.14       10.2902    2   0   0         2
                15.06          2.34        6.8288    0   1   1         2
                15.88         16.44        6.4814    1   1   1         4
                18.10         19.39        5.6899    2   1   1         4
                20.04         13.09        5.1451    4   0   0         2
                20.60          5.46        5.0069    1   2   0         4
                21.32         17.58        4.8398    3   1   1         4
                22.68          8.78        4.5526    0   0   2         1
                24.83          2.93        4.1634    2   0   2         2
                25.07          2.06        4.1247    3   2   0         4
                25.16         12.08        4.1093    4   1   1         4
                29.42         10.35        3.5252    5   1   1         4
                30.26         36.57        3.4301    6   0   0         2
                30.40         26.79        3.4144    0   2   2         2
                30.44          7.61        3.4095    4   0   2         2
                30.82         36.57        3.3684    1   2   2         4
                32.07         36.38        3.2407    2   2   2         4
                32.29         10.93        3.2191    0   3   1         2
                32.69         26.91        3.1804    1   3   1         4
                33.88          5.10        3.0723    2   3   1         4
                33.96          4.07        3.0651    6   1   1         4
                34.06        100.00        3.0567    3   2   2         4
                35.78         40.35        2.9142    3   3   1         4
                35.81          9.53        2.9119    0   1   3         2
                36.18         16.55        2.8832    1   1   3         4
                36.68         61.35        2.8450    4   2   2         4
                37.26         19.28        2.8019    2   1   3         4
                38.14          3.29        2.7396    6   0   2         2
                38.30         27.67        2.7290    4   3   1         4
                38.72          4.97        2.7004    7   1   1         4
                39.02          7.50        2.6804    3   1   3         4
                39.83         52.03        2.6279    5   2   2         4
                40.72         51.33        2.5726    8   0   0         2
                40.92          9.41        2.5609    1   4   0         4
                41.02          7.71        2.5548    7   2   0         4
                41.34         12.43        2.5357    5   3   1         4
                41.37         12.47        2.5342    4   1   3         4
                41.90          2.33        2.5035    2   4   0         4
                43.42          3.16        2.4199    6   2   2         4
                43.50          3.43        2.4157    3   4   0         4
                43.66          6.62        2.4074    8   1   1         4
                44.24          9.40        2.3772    5   1   3         4
                44.83          9.85        2.3473    6   3   1         4
                45.66          7.03        2.3070    4   4   0         4
                45.76          7.46        2.3025    8   2   0         4
                46.31          2.33        2.2763    0   0   4         1
                46.31          9.37        2.2763    0   3   3         2
                46.61         34.62        2.2625    1   3   3         4
                46.99          8.62        2.2453    0   4   2         2
                47.29          9.76        2.2320    1   4   2         4
                47.38          2.00        2.2279    7   2   2         4
                47.50          1.86        2.2226    2   0   4         2
                47.50         13.83        2.2226    2   3   3         4
                48.17          5.44        2.1937    2   4   2         4
                48.33          4.69        2.1867    5   4   0         4
                48.70          1.26        2.1709    7   3   1         4
                48.76          2.21        2.1684    9   1   1         4
                48.95          1.19        2.1605    3   3   3         4
                50.70          7.88        2.0908    9   2   0         4
                50.94         10.85        2.0817    4   0   4         2
                51.27         11.18        2.0689    7   1   3         4
                51.45          8.96        2.0624    6   4   0         4
                51.56          6.15        2.0580   10   0   0         2
                51.57          4.13        2.0579    4   4   2         4
                51.66         15.09        2.0547    8   2   2         4
                52.79          1.86        2.0137    0   5   1         2
                52.90          6.49        2.0097    8   3   1         4
                53.38          4.58        1.9930    3   2   4         4
                53.41          9.95        1.9920    5   3   3         4
                54.04          3.51        1.9705   10   1   1         4
                54.97          2.19        1.9396    7   4   0         4
                55.20          3.29        1.9322    3   5   1         4
                55.25          1.18        1.9306    4   2   4         4
                55.84          1.40        1.9117   10   2   0         4
                56.22         11.64        1.9000    9   2   2         4
                56.32          5.54        1.8967    6   0   4         2
                56.32          3.28        1.8966    6   3   3         4
                56.91          8.12        1.8786    6   4   2         4
                57.02          2.28        1.8753   10   0   2         2
                57.03          1.84        1.8752    4   5   1         4
                57.39          3.40        1.8642    9   3   1         4
                57.59          5.35        1.8584    5   2   4         4
                58.85          1.84        1.8221    8   4   0         4
                59.32          1.02        1.8088    5   5   1         4
                59.70         11.35        1.7984    9   1   3         4
                59.89          9.85        1.7934    0   1   5         2
================================================================================
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
