      Sanidine
      Ferguson R B, Ball N A, Cerny P
      The Canadian Mineralogist 29 (1991) 543-552
      Structure refinement of an adularian end-member high sanidine from the
      Buck Claim Pegmatite, Bernic Lake, Manitoba
      Sample: III
      Locality: Buck Claim Pegmatite, Bernic Lake, Manitoba, Canada
      Note: variety adularia
      _database_code_amcsd 0005272
      CELL PARAMETERS:   8.6110 13.0460  7.1750   90.000  116.010   90.000
      SPACE GROUP: C2/m      
      X-RAY WAVELENGTH:     1.790290
      Cell Volume:    724.396
      Density (g/cm3):      2.552
      MAX. ABS. INTENSITY / VOLUME**2:      4.267647071    
      RIR:      0.781
      RIR based on corundum from Acta Crystallographica A38 (1982) 733-739
               2-THETA      INTENSITY    D-SPACING   H   K   L   Multiplicity
                15.46          6.11        6.6559    1   1   0         4
                15.78          9.23        6.5230    0   2   0         2
                15.96          1.97        6.4483    0   0   1         2
                17.55          9.21        5.8674   -1   1   1         4
                22.51          1.58        4.5858    0   2   1         4
                24.39         60.26        4.2376   -2   0   1         2
                26.22         17.67        3.9467    1   1   1         4
                26.75          4.30        3.8694    2   0   0         2
                27.31         80.05        3.7911    1   3   0         4
                28.58         15.33        3.6262   -1   3   1         4
                29.18         12.12        3.5536   -2   2   1         4
                30.00         48.59        3.4581   -1   1   2         4
                31.21        100.00        3.3280    2   2   0         4
                31.63         55.84        3.2847   -2   0   2         2
                31.86         26.45        3.2615    0   4   0         2
                32.24         77.45        3.2241    0   0   2         2
                34.74         56.19        2.9988    1   3   1         4
                35.53          8.04        2.9337   -2   2   2         4
                35.83         23.98        2.9104    0   4   1         4
                36.08         10.81        2.8904    0   2   2         4
                37.28          1.44        2.8008   -3   1   1         4
                37.75         20.58        2.7669   -1   3   2         4
                40.13         19.32        2.6091   -3   1   2         4
                40.50          2.84        2.5864    2   2   1         4
                40.53         34.52        2.5846   -2   4   1         4
                41.12          8.99        2.5489    1   1   2         4
                41.43          9.25        2.5306    3   1   0         4
                42.07          3.76        2.4938    2   4   0         4
                43.33          7.99        2.4249   -1   5   1         4
                43.91         10.09        2.3940   -3   3   1         4
                45.46          5.52        2.3169   -1   1   3         4
                46.43          2.10        2.2710   -3   3   2         4
                47.59          1.09        2.2186    3   3   0         4
                47.85          3.35        2.2075    1   5   1         4
                48.62         23.41        2.1743    0   6   0         2
                49.65          9.10        2.1320    2   4   1         4
                49.76          3.17        2.1276   -4   0   1         2
                49.98          4.71        2.1188   -4   0   2         2
                51.19          2.08        2.0720    3   1   1         4
                51.23          2.15        2.0704    2   0   2         2
                51.50          4.54        2.0604    0   6   1         4
                52.75         11.94        2.0152   -4   2   2         4
                53.95         10.99        1.9734    2   2   2         4
                54.48          3.10        1.9558   -3   3   3         4
                55.12          9.58        1.9347    4   0   0         2
                55.27          2.61        1.9299   -3   5   1         4
                55.74          4.85        1.9150   -4   0   3         2
                56.36          1.90        1.8956    2   6   0         4
                56.54          1.37        1.8901    3   3   1         4
                57.71          2.26        1.8548    4   2   0         4
                57.83          5.55        1.8514    1   1   3         4
                58.17          1.56        1.8414    1   5   2         4
                58.31          1.78        1.8374   -4   2   3         4
                58.41          3.44        1.8344    3   5   0         4
                59.17          3.73        1.8131   -2   6   2         4
                59.54          8.30        1.8027    0   6   2         4
                59.84          8.72        1.7947    0   4   3         4
================================================================================
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
