      Lomonosovite
      Belov N V, Gavrilova G S, Solov'eva L P, Khalilov A D
      Soviet Physics Doklady 22 (1977) 422-424
      The refined structure of lomonosovite
      _database_code_amcsd 0015603
      CELL PARAMETERS:   5.4900  7.1100 14.5000  101.000   96.000   90.000
      SPACE GROUP: P-1       
      X-RAY WAVELENGTH:     1.790290
      Cell Volume:    552.434
      Density (g/cm3):      3.040
      MAX. ABS. INTENSITY / VOLUME**2:      3.399819332    
      RIR:      0.522
      RIR based on corundum from Acta Crystallographica A38 (1982) 733-739
               2-THETA      INTENSITY    D-SPACING   H   K   L   Multiplicity
                 7.25         99.07       14.1527    0   0   1         2
                14.53          4.52        7.0763    0   0   2         2
                15.14         14.72        6.7971    0  -1   1         2
                17.66          7.58        5.8306    0   1   1         2
                18.64         45.20        5.5269    0  -1   2         2
                20.96          2.64        4.9202    1   0   1         2
                21.88          2.79        4.7176    0   0   3         2
                22.62          2.17        4.5636   -1   0   2         2
                22.69          7.33        4.5512    0   1   2         2
                23.90         43.55        4.3226   -1  -1   1         2
                23.97          1.28        4.3107    0  -1   3         2
                24.27         15.36        4.2575    1   1   0         2
                24.66         45.55        4.1927    1  -1   1         2
                25.13         11.97        4.1155    1   0   2         2
                25.15          2.42        4.1119   -1   1   1         2
                25.73          8.94        4.0208   -1  -1   2         2
                27.44          1.75        3.7737   -1   0   3         2
                27.55         16.43        3.7599    1  -1   2         2
                28.43          2.57        3.6454   -1   1   2         2
                28.79         18.23        3.6008    0   1   3         2
                29.21          2.39        3.5495    0  -2   1         2
                29.31         25.99        3.5382    0   0   4         2
                29.37          2.69        3.5317   -1  -1   3         2
                29.73          2.07        3.4890    0   2   0         2
                30.23          8.67        3.4325    0  -1   4         2
                32.02          2.98        3.2459    0   2   1         2
                33.11         14.97        3.1412   -1   1   3         2
                33.29          1.99        3.1248   -1   0   4         2
                33.52         19.21        3.1043    0  -2   3         2
                34.29          8.93        3.0361   -1  -1   4         2
                35.11          2.20        2.9677    1  -2   1         2
                35.62         33.91        2.9264   -1  -2   2         2
                35.76         16.64        2.9153    0   2   2         2
                36.67          6.30        2.8455    1  -2   2         2
                36.68         26.95        2.8447   -1   2   1         2
                36.82          2.50        2.8345    1   0   4         2
                36.87        100.00        2.8305    0   0   5         2
                37.42          1.83        2.7908    1  -1   4         2
                37.80          3.38        2.7635    0  -2   4         2
                37.84         60.86        2.7607   -1  -2   3         2
                38.16          9.23        2.7382    1   2   1         2
                38.21         31.92        2.7347   -2   0   1         2
                38.29         61.35        2.7294    2   0   0         2
                39.64         43.08        2.6402    1  -2   3         2
                39.65         80.45        2.6392   -1   2   2         2
                39.80          6.77        2.6299   -1   0   5         2
                39.82         19.13        2.6285    2   0   1         2
                40.11         13.29        2.6102   -1  -1   5         2
                40.63          4.66        2.5786    0   2   3         2
                41.81         26.96        2.5088    1   2   2         2
                42.18          7.30        2.4874    1   1   4         2
                42.68         13.59        2.4601    2   0   2         2
                43.23          1.29        2.4301   -2   1   2         2
                43.49          1.53        2.4161    2   1   1         2
                43.61          4.76        2.4101    1   0   5         2
                43.77          5.24        2.4015    1  -2   4         2
                44.24          2.30        2.3772    0  -1   6         2
                44.60          8.21        2.3588    0   0   6         2
                44.83          6.25        2.3473    0  -3   2         2
                45.94          2.79        2.2940   -1  -2   5         2
                46.20          2.57        2.2818   -2   0   4         2
                46.49          5.87        2.2682    1   2   3         2
                46.65          1.72        2.2606    2   1   2         2
                46.66         14.43        2.2605    2   0   3         2
                47.10          1.17        2.2405   -2  -1   4         2
                48.69          3.34        2.1714   -2   2   0         2
                48.73          3.71        2.1699   -2  -2   1         2
                48.77          1.62        2.1680   -1  -3   2         2
                48.86          3.60        2.1642   -1   2   4         2
                48.93          2.16        2.1613   -2  -2   2         2
                49.08          1.05        2.1554    0  -2   6         2
                49.33          1.50        2.1450    1  -3   2         2
                50.08          1.36        2.1149    0   1   6         2
                50.34         16.53        2.1046   -2  -2   3         2
                50.37          4.99        2.1036    1  -1   6         2
                50.37          1.96        2.1035   -2   1   4         2
                50.56         10.64        2.0963    2  -2   2         2
                50.83          2.70        2.0859    1   0   6         2
                51.02         11.19        2.0785   -2   0   5         2
                51.37          3.60        2.0654   -1  -2   6         2
                51.62          4.44        2.0559   -2   2   2         2
                51.90          9.95        2.0457    2   2   1         2
                52.47          8.97        2.0251   -1  -3   4         2
                52.56          3.93        2.0218    0   0   7         2
                52.70          1.51        2.0169    0   2   5         2
                53.33          1.93        1.9945    0  -3   5         2
                53.51          1.64        1.9883   -1   3   2         2
                54.70          1.86        1.9483   -1   2   5         2
                54.74          1.36        1.9470   -2   2   3         2
                54.85          2.59        1.9435    0   3   3         2
                56.64          1.56        1.8868   -2   0   6         2
                56.87          3.46        1.8800    2  -2   4         2
                57.16          3.17        1.8713    2  -1   5         2
                57.27         16.25        1.8679    2   0   5         2
                57.51          5.83        1.8608   -1  -2   7         2
                57.90          4.59        1.8494    0   1   7         2
                58.14          1.22        1.8423    0  -3   6         2
                58.45          2.64        1.8334    1   0   7         2
                58.59          1.11        1.8295   -3   0   1         2
                59.32          1.62        1.8091   -1   1   7         2
================================================================================
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
