      Arrojadite-(KFe)
      Moore P B, Araki T, Merlino S, Mellini M, Zanazzi P F
      American Mineralogist 66 (1981) 1034-1049
      The arrojadite-dickinsonite series, KNa4Ca(Fe,Mn)14Al(OH)2(PO4)12:
      Crystal structure and crystal chemistry
      sample NP
      Locality: Nickel Plate mine, Keystone, South Dakota, USA
      _database_code_amcsd 0000847
      CELL PARAMETERS:  24.7300 10.0570 16.5260   90.000  105.780   90.000
      SPACE GROUP: A2/a      
      X-RAY WAVELENGTH:     1.790290
      Cell Volume:   3955.275
      Density (g/cm3):      3.596
      MAX. ABS. INTENSITY / VOLUME**2:      8.140219769    
      RIR:      1.057
      RIR based on corundum from Acta Crystallographica A38 (1982) 733-739
               2-THETA      INTENSITY    D-SPACING   H   K   L   Multiplicity
                 8.63         12.58       11.8990    2   0   0         2
                12.23         18.02        8.4008   -1   1   1         4
                12.93         10.50        7.9516    0   0   2         2
                13.42          6.34        7.6598    1   1   1         4
                13.46         11.39        7.6404   -2   0   2         2
                15.87         14.08        6.4850    2   1   1         4
                16.41          5.40        6.2720   -3   1   1         4
                17.31          6.02        5.9495    4   0   0         2
                17.42          8.83        5.9103    2   0   2         2
                18.59         30.24        5.5410   -4   0   2         2
                19.01          1.65        5.4198    3   1   1         4
                19.65          4.74        5.2455   -4   1   1         4
                20.51         16.78        5.0285    0   2   0         2
                21.62          1.37        4.7720   -2   1   3         4
                22.01          3.14        4.6895    0   1   3         4
                22.29          6.71        4.6319    2   2   0         4
                22.58          5.52        4.5719    4   1   1         4
                23.28          1.67        4.4369   -5   1   1         4
                24.07          1.70        4.2932   -1   2   2         4
                24.33          3.18        4.2471    3   2   0         4
                24.36          1.44        4.2423    4   0   2         2
                24.61          2.74        4.2004   -2   2   2         4
                25.08          5.32        4.1229   -2   0   4         2
                25.33          7.08        4.0824    1   2   2         4
                26.96          2.89        3.8405    4   2   0         4
                27.01          1.54        3.8332   -5   1   3         4
                27.03          1.72        3.8299    2   2   2         4
                27.16          3.24        3.8129   -6   1   1         4
                27.82          1.77        3.7237   -4   2   2         4
                29.31          3.18        3.5382    3   2   2         4
