      Enstatite
      Camara F, Iezzi G, Tiepolo M, Oberti R
      Physics and Chemistry of Minerals 33 (2006) 475-483
      The crstal chemistry of lithium and Fe3+ in synthetic orthopyroxene
      Sample: LMFPX3
      _database_code_amcsd 0009041
      CELL PARAMETERS:  18.2113  8.8172  5.2050   90.000   90.000   90.000
      SPACE GROUP: Pbca      
      X-RAY WAVELENGTH:     1.790290
      Cell Volume:    835.781
      Density (g/cm3):      3.318
      MAX. ABS. INTENSITY / VOLUME**2:      4.349072333    
      RIR:      0.612
      RIR based on corundum from Acta Crystallographica A38 (1982) 733-739
               2-THETA      INTENSITY    D-SPACING   H   K   L   Multiplicity
                16.25          6.76        6.3342    2   1   0         4
                23.43         12.54        4.4086    0   2   0         2
                23.74          3.16        4.3524    1   1   1         8
                25.72          1.60        4.0215    2   1   1         8
                31.40         22.93        3.3081    1   2   1         8
                32.55         20.23        3.1941    4   1   1         8
                32.84         51.10        3.1671    4   2   0         4
                32.96        100.00        3.1556    2   2   1         8
                35.42         56.28        2.9425    3   2   1         8
                36.35         96.57        2.8699    6   1   0         4
                36.92         22.85        2.8267    5   1   1         8
                37.33          3.66        2.7970    2   3   0         4
                38.64         36.83        2.7056    4   2   1         8
                40.66          1.18        2.5763    1   0   2         4
                41.37         51.79        2.5343    1   3   1         8
                41.73          4.38        2.5132    6   1   1         8
                41.92         58.89        2.5023    2   0   2         4
                42.47         32.24        2.4713    5   2   1         8
                42.51          1.02        2.4693    4   3   0         4
                42.61         13.24        2.4638    2   3   1         8
                43.95         13.30        2.3919    3   0   2         4
                44.62          1.93        2.3582    3   3   1         8
                45.63          1.79        2.3085    3   1   2         8
                46.89          5.50        2.2501    7   1   1         8
                47.31          4.90        2.2309    4   3   1         8
                48.28          2.99        2.1887    4   1   2         8
                50.02         32.09        2.1175    5   0   2         4
                50.17          1.84        2.1114    6   3   0         4
                50.40          4.08        2.1024    3   2   2         8
                50.62         22.95        2.0940    5   3   1         8
                51.54         13.54        2.0590    5   1   2         8
                51.57          8.10        2.0580    7   2   1         8
                52.34          4.49        2.0297    8   1   1         8
                52.53          1.78        2.0227    8   2   0         4
                52.69          9.83        2.0173    1   4   1         8
                53.64          3.78        1.9840    4   4   0         4
                53.72         14.19        1.9812    2   4   1         8
                54.45         25.50        1.9566    6   3   1         8
                55.42          1.98        1.9250    3   4   1         8
                56.69          6.65        1.8853    8   2   1         8
                57.70          2.10        1.8552    3   3   2         8
                57.74          1.77        1.8539    4   4   1         8
                58.22          7.69        1.8399    7   0   2         4
                59.54          5.46        1.8029    6   2   2         8
                59.96          1.43        1.7913    4   3   2         8
================================================================================
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
