      Richterite
      Oberti R, Ungaretti L, Cannillo E, Hawthorne F C
      European Journal of Mineralogy 4 (1992) 425-439
      The behaviour of Ti in amphiboles: I. Four- and six-coordinate Ti in richterite
      Sample: R(5) Potassium-fluor-richterite
      _database_code_amcsd 0006441
      CELL PARAMETERS:   9.9480 18.0250  5.2810   90.000  104.720   90.000
      SPACE GROUP: C2/m      
      X-RAY WAVELENGTH:     1.790290
      Cell Volume:    915.871
      Density (g/cm3):      3.128
      MAX. ABS. INTENSITY / VOLUME**2:      3.645228232    
      RIR:      0.544
      RIR based on corundum from Acta Crystallographica A38 (1982) 733-739
               2-THETA      INTENSITY    D-SPACING   H   K   L   Multiplicity
                11.40          1.90        9.0125    0   2   0         2
                12.11         81.28        8.4880    1   1   0         4
                21.11         10.88        4.8870   -1   1   1         4
                22.92         21.14        4.5062    0   4   0         2
                23.24          1.82        4.4437    0   2   1         4
                25.87         18.62        3.9983    1   1   1         4
                26.69         22.48        3.8780   -1   3   1         4
                30.65         80.78        3.3869    1   3   1         4
                30.72          1.35        3.3791    0   4   1         4
                31.59         66.98        3.2888    2   4   0         4
                32.94         77.40        3.1576    3   1   0         4
                34.15         11.05        3.0485   -3   1   1         4
                35.27         49.50        2.9548    2   2   1         4
                35.46         15.68        2.9394   -1   5   1         4
                36.89         23.08        2.8293    3   3   0         4
                37.99         36.83        2.7500   -3   3   1         4
                38.61        100.00        2.7074    1   5   1         4
                40.45         57.27        2.5895    0   6   1         4
                41.04          5.12        2.5538    0   0   2         2
                41.29         83.57        2.5386   -2   0   2         2
                42.18          2.53        2.4875    1   7   0         4
                43.70          2.59        2.4054    4   0   0         2
                43.87          6.15        2.3962    3   5   0         4
                44.83         28.13        2.3474   -3   5   1         4
                44.92         19.17        2.3433   -4   2   1         4
                45.88         15.23        2.2965   -1   7   1         4
                46.13         24.24        2.2847   -3   1   2         4
                46.48          1.56        2.2688    3   3   1         4
                46.82          1.09        2.2531    0   8   0         2
                47.52          1.94        2.2218    0   4   2         4
                47.75         13.11        2.2118   -2   4   2         4
                48.47         10.49        2.1807    1   7   1         4
                48.81         47.42        2.1666    2   6   1         4
                49.19          9.80        2.1507   -3   3   2         4
                49.70          2.17        2.1301   -1   5   2         4
                51.77         21.97        2.0502    2   0   2         2
                52.04          1.09        2.0404    2   8   0         4
                52.42         12.16        2.0268   -4   0   2         2
                52.43          9.12        2.0264    3   5   1         4
                52.95          1.53        2.0079    3   7   0         4
                53.79          2.25        1.9790   -3   7   1         4
                54.33          5.85        1.9607    1   9   0         4
                54.51          1.42        1.9546    1   5   2         4
                54.86          2.04        1.9431    4   2   1         4
                54.93          3.52        1.9409   -3   5   2         4
                55.79          9.91        1.9134    5   1   0         4
                56.61          7.56        1.8878   -4   6   1         4
                57.33          2.42        1.8662    2   4   2         4
                57.43          9.15        1.8631   -1   9   1         4
                57.93          5.15        1.8484   -4   4   2         4
                58.48          2.34        1.8326    5   3   0         4
                59.55          2.51        1.8025    0  10   0         2
                59.66          3.36        1.7996    1   9   1         4
================================================================================
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
