      Richterite
      Della Ventura G, Robert J-L, Raudsepp M, Hawthorne F C
      American Mineralogist 78 (1993) 633-640
      Site occupancies in monoclinic amphiboles: Rietveld structure refinement of
      synthetic magnesium cobalt potassium richterite
      Sample: KNi40
      Atomic parameters from ICSD
      _database_code_amcsd 0001576
      CELL PARAMETERS:  10.0492 17.9750  5.2661   90.000  104.904   90.000
      SPACE GROUP: C2/m      
      X-RAY WAVELENGTH:     1.790290
      Cell Volume:    919.237
      Density (g/cm3):      3.286
      MAX. ABS. INTENSITY / VOLUME**2:      6.874088383    
      RIR:      0.976
      RIR based on corundum from Acta Crystallographica A38 (1982) 733-739
               2-THETA      INTENSITY    D-SPACING   H   K   L   Multiplicity
                12.03        100.00        8.5440    1   1   0         4
                21.12          5.46        4.8851   -1   1   1         4
                21.25          1.65        4.8556    2   0   0         2
                22.98         13.64        4.4938    0   4   0         2
                24.19          1.64        4.2720    2   2   0         4
                25.91          8.52        3.9929    1   1   1         4
                26.73         11.76        3.8731   -1   3   1         4
                30.71         38.40        3.3810    1   3   1         4
                30.82          5.92        3.3684    0   4   1         4
                31.50         32.23        3.2981    2   4   0         4
                32.64         56.74        3.1858    3   1   0         4
                33.87          6.70        3.0727   -3   1   1         4
                34.50          3.04        3.0188   -2   4   1         4
                35.22         28.04        2.9588    2   2   1         4
                35.53          1.35        2.9338   -1   5   1         4
                36.64         11.62        2.8480    3   3   0         4
                37.76         19.80        2.7663   -3   3   1         4
                38.70         72.05        2.7017    1   5   1         4
                40.57         46.03        2.5817    0   6   1         4
                40.76          2.59        2.5703    2   4   1         4
                41.30         56.99        2.5381   -2   0   2         2
                43.27          5.59        2.4278    4   0   0         2
                43.69          6.70        2.4056    3   5   0         4
                44.51         11.23        2.3635   -4   2   1         4
                44.67         24.94        2.3557   -3   5   1         4
                45.80          1.22        2.3004    1   1   2         4
                45.99          6.94        2.2914   -1   7   1         4
                46.00         17.26        2.2910   -3   1   2         4
                46.96          1.07        2.2469    0   8   0         2
                47.69          1.07        2.2142    0   4   2         4
                47.79          4.98        2.2099   -2   4   2         4
                48.59          4.18        2.1755    1   7   1         4
                48.84         34.48        2.1654    2   6   1         4
                49.08          4.38        2.1552   -3   3   2         4
                49.85          3.21        2.1242   -1   5   2         4
                51.85         17.55        2.0476    2   0   2         2
                52.12         11.06        2.0377   -4   0   2         2
                52.33         10.94        2.0301    3   5   1         4
                52.84          1.24        2.0117    3   7   0         4
                53.69          1.84        1.9823   -3   7   1         4
                54.46          2.48        1.9563    1   9   0         4
                54.57          1.15        1.9526    4   2   1         4
                54.86          3.20        1.9433   -3   5   2         4
                55.24          3.41        1.9310    5   1   0         4
                56.33          8.35        1.8964   -4   6   1         4
                57.42          1.14        1.8633    2   4   2         4
                57.58          4.39        1.8585   -1   9   1         4
                57.68          1.77        1.8558   -4   4   2         4
                57.96          1.46        1.8476    5   3   0         4
                58.66          1.39        1.8275    4   4   1         4
                59.73          4.31        1.7975    0  10   0         2
                59.82          2.17        1.7951    1   9   1         4
================================================================================
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
