      Diopside
      Liang J, Hawthorne F C
      The Canadian Mineralogist 32 (1994) 541-552
      Characterization of fine-grained mixtures of rock-forming minerals by Rietveld
      structure refinement: olivine + pyroxene
      Sample: P9 - 89.6% olivine Rietveld
      _database_code_amcsd 0005394
      CELL PARAMETERS:   9.7470  8.9140  5.2590   90.000  105.900   90.000
      SPACE GROUP: C2/c      
      X-RAY WAVELENGTH:     1.790290
      Cell Volume:    439.445
      Density (g/cm3):      3.289
      MAX. ABS. INTENSITY / VOLUME**2:      7.536847375    
      RIR:      1.070
      RIR based on corundum from Acta Crystallographica A38 (1982) 733-739
               2-THETA      INTENSITY    D-SPACING   H   K   L   Multiplicity
                15.93          2.33        6.4597    1   1   0         4
                22.02          3.88        4.6870    2   0   0         2
                23.17          3.67        4.4570    0   2   0         2
                28.31          1.05        3.6610    1   1   1         4
                31.05         10.87        3.3439    0   2   1         4
                32.18         27.62        3.2298    2   2   0         4
                34.84        100.00        2.9902   -2   2   1         4
                35.34         28.68        2.9488    3   1   0         4
                36.04         38.99        2.8937   -3   1   1         4
                40.88         33.45        2.5634   -1   3   1         4
                41.36          1.30        2.5346   -2   0   2         2
                41.46         49.09        2.5289    0   0   2         2
                41.70         51.27        2.5153    2   2   1         4
                45.77         19.43        2.3016    3   1   1         4
                47.63         13.59        2.2171    1   1   2         4
                47.94          2.16        2.2033   -2   2   2         4
                48.03          9.17        2.1995    0   2   2         4
                49.13          5.90        2.1532    3   3   0         4
                49.66         21.11        2.1315   -3   3   1         4
                50.29         11.94        2.1069   -4   2   1         4
                51.13          3.00        2.0743    4   2   0         4
                52.07         27.93        2.0393    0   4   1         4
                52.71         11.52        2.0162   -4   0   2         2
                52.96          5.59        2.0076    2   0   2         2
                54.08          3.99        1.9691   -1   3   2         4
                58.41          4.34        1.8347    5   1   0         4
                58.55          7.69        1.8305    2   2   2         4
                59.16          4.74        1.8133    1   3   2         4
================================================================================
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
