      Mejillonesite
      Atencio D, Chukanov N V, Nestola F, Witzke T, Coutinho J M V,
      Zadov A E, Contreira R R, Farber G
      American Mineralogist 97 (2012) 19-25
      Mejillonesite, a new acid sodium, magnesium phosphate mineral,
      from Mejillones, Antofagasta, Chile
      Locality: Mejillones, Antofagasta, Chile
      _database_code_amcsd 0018764
      CELL PARAMETERS:  16.2950 13.0090  8.4340   90.000   90.000   90.000
      SPACE GROUP: Pbca      
      X-RAY WAVELENGTH:     1.790290
      Cell Volume:   1787.853
      Density (g/cm3):      2.345
      MAX. ABS. INTENSITY / VOLUME**2:      5.749798830    
      RIR:      1.145
      RIR based on corundum from Acta Crystallographica A38 (1982) 733-739
               2-THETA      INTENSITY    D-SPACING   H   K   L   Multiplicity
                12.62        100.00        8.1475    2   0   0         2
                14.90         30.71        6.9050    2   1   0         4
                15.85         35.12        6.4911    1   1   1         8
                19.29         20.40        5.3428    2   1   1         8
                20.02          5.46        5.1507    0   2   1         4
                20.28          1.41        5.0833    2   2   0         4
                25.33          6.18        4.0825    1   0   2         4
                27.05         19.60        3.8279    2   3   0         4
                27.60          3.07        3.7528    1   3   1         8
                27.71          3.69        3.7375    3   2   1         8
                29.76         19.84        3.4857    2   3   1         8
                30.05          1.87        3.4525    4   2   0         4
                31.18         46.36        3.3310    3   0   2         4
                32.21          8.73        3.2269    3   1   2         8
                32.54         33.63        3.1952    4   2   1         8
                33.08          2.16        3.1445    3   3   1         8
                35.05         47.81        2.9725    1   3   2         8
                35.09          1.79        2.9691    4   3   0         4
                35.58          2.40        2.9299    4   0   2         4
                36.82          3.93        2.8343    2   3   2         8
                37.94         18.60        2.7540    5   2   1         8
                38.49          8.95        2.7158    6   0   0         2
                39.35          1.15        2.6585    6   1   0         4
                39.50          1.32        2.6491    3   4   1         8
                39.62          9.77        2.6416    3   3   2         8
                40.59          2.33        2.5806    0   2   3         4
                40.62         14.26        2.5787    5   0   2         4
                40.68          2.22        2.5753    0   4   2         4
                41.12          1.56        2.5488    1   2   3         8
                41.21          7.63        2.5438    1   4   2         8
                41.24         10.32        2.5416    4   4   0         4
                42.34         10.26        2.4785    2   5   0         4
                43.16          1.48        2.4335    4   4   1         8
                45.77          2.31        2.3017    6   3   0         4
                46.65          1.07        2.2606    3   5   1         8
                47.64          3.19        2.2164    5   3   2         8
                48.16          3.87        2.1941    1   5   2         8
                48.19         12.75        2.1927    4   5   0         4
                48.88          8.20        2.1637    3   3   3         8
                49.92          1.39        2.1213    7   2   1         8
                50.24          7.81        2.1085    0   0   4         2
                50.44          7.27        2.1008    5   1   3         8
                50.46          2.96        2.0999    0   6   1         4
                50.86          1.23        2.0846    6   4   0         4
                50.91          2.28        2.0827    1   6   1         8
                51.77          1.11        2.0504    3   5   2         8
                52.02          1.60        2.0414    4   3   3         8
                52.52          3.65        2.0231    5   2   3         8
                52.59          6.72        2.0206    5   4   2         8
                52.82          1.85        2.0124    8   1   0         4
                53.01          1.60        2.0057    0   2   4         4
                54.43          1.03        1.9574    8   1   1         8
                55.22          2.61        1.9316    6   1   3         8
                57.98          3.60        1.8469    2   3   4         8
                58.07          2.54        1.8444    7   3   2         8
                58.10          1.09        1.8436    8   3   0         4
                58.44          2.82        1.8338    6   5   1         8
                59.59          1.37        1.8015    3   5   3         8
                59.60          2.97        1.8011    8   3   1         8
================================================================================
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
