      Richterite
      Senda K, Ishida K, Jenkins D M
      American Mineralogist 90 (2005) 1062-1071
      X-ray Rietveld refinement and FTIR spectra of synthetic (Si,Ge)-richterites
      Sample: Ge4Ri, Si48Ge52
      _database_code_amcsd 0003794
      CELL PARAMETERS:  10.1237 18.1470  5.3386   90.000  105.067   90.000
      SPACE GROUP: C2/m      
      X-RAY WAVELENGTH:     1.790290
      Cell Volume:    947.063
      Density (g/cm3):      3.460
      MAX. ABS. INTENSITY / VOLUME**2:      6.156268883    
      RIR:      0.831
      RIR based on corundum from Acta Crystallographica A38 (1982) 733-739
               2-THETA      INTENSITY    D-SPACING   H   K   L   Multiplicity
                11.32         26.67        9.0735    0   2   0         2
                11.94         17.95        8.6064    1   1   0         4
                20.04          7.75        5.1439    1   3   0         4
                20.84         21.90        4.9499   -1   1   1         4
                21.11         71.82        4.8878    2   0   0         2
                22.76         42.60        4.5367    0   4   0         2
                23.04          8.64        4.4822    0   2   1         4
                25.64          6.89        4.0341    1   1   1         4
                26.41         66.20        3.9191   -1   3   1         4
                30.39         73.57        3.4151    1   3   1         4
                31.23         49.74        3.3252    2   4   0         4
                32.41         74.09        3.2073    3   1   0         4
                32.91          1.97        3.1604    2   0   1         2
                33.54          3.84        3.1024   -3   1   1         4
                34.91         45.35        2.9845    2   2   1         4
                35.13         37.59        2.9657   -1   5   1         4
                36.36         21.16        2.8688    3   3   0         4
                37.39         42.50        2.7930   -3   3   1         4
                38.30        100.00        2.7285    1   5   1         4
                40.14         44.76        2.6087    0   6   1         4
                40.64         29.24        2.5775    0   0   2         2
                40.73         75.05        2.5725   -2   0   2         2
                42.41          3.34        2.4749   -2   2   2         4
                42.48          2.12        2.4709   -4   0   1         2
                42.97          5.06        2.4439    4   0   0         2
                43.01          1.72        2.4421   -1   3   2         4
                43.07          4.93        2.4385   -2   6   1         4
                43.33          3.52        2.4247    3   5   0         4
                44.11         16.21        2.3841   -4   2   1         4
                44.22         55.29        2.3784   -3   5   1         4
                45.24          4.55        2.3271    1   1   2         4
                45.40         10.18        2.3197   -3   1   2         4
                45.49         22.57        2.3151   -1   7   1         4
                46.48          1.91        2.2684    0   8   0         2
                47.08          4.04        2.2411    0   4   2         4
                48.09          6.70        2.1968    1   7   1         4
                48.31          1.77        2.1877    1   3   2         4
                48.37          5.09        2.1851    2   6   1         4
                48.45          2.78        2.1815   -3   3   2         4
                49.20          2.77        2.1503   -1   5   2         4
                51.28         19.07        2.0688    2   0   2         2
                51.58          5.12        2.0576    2   8   0         4
                51.87          2.07        2.0469    3   5   1         4
                52.37          1.33        2.0287    3   7   0         4
                53.14          6.00        2.0014   -3   7   1         4
                53.91          1.96        1.9748    1   9   0         4
                54.14          7.44        1.9670    4   2   1         4
                54.17          1.54        1.9660   -3   5   2         4
                54.84         15.35        1.9439    5   1   0         4
                56.79          3.10        1.8823    2   4   2         4
                56.96         13.77        1.8773   -1   9   1         4
                56.98          4.58        1.8765   -4   4   2         4
                57.52          8.42        1.8604    5   3   0         4
                57.55          3.02        1.8597   -1   7   2         4
                59.11          2.96        1.8147    0  10   0         2
                59.19          3.85        1.8126    1   9   1         4
                59.75          6.45        1.7971    3   1   2         4
                60.00          4.09        1.7903   -5   1   2         4
================================================================================
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
