      Richterite
      Della Ventura G, Robert J-L, Raudsepp M, Hawthorne F C
      American Mineralogist 78 (1993) 633-640
      Site occupancies in monoclinic amphiboles: Rietveld structure refinement of
      synthetic magnesium cobalt potassium richterite
      Sample: KCo40
      Atomic parameters from ICSD
      _database_code_amcsd 0001581
      CELL PARAMETERS:  10.0817 18.0210  5.2753   90.000  104.832   90.000
      SPACE GROUP: C2/m      
      X-RAY WAVELENGTH:     1.790290
      Cell Volume:    926.494
      Density (g/cm3):      3.229
      MAX. ABS. INTENSITY / VOLUME**2:      4.979784496    
      RIR:      0.720
      RIR based on corundum from Acta Crystallographica A38 (1982) 733-739
               2-THETA      INTENSITY    D-SPACING   H   K   L   Multiplicity
                11.99        100.00        8.5725    1   1   0         4
                21.08          8.45        4.8935   -1   1   1         4
                22.92         17.09        4.5052    0   4   0         2
                24.11          1.12        4.2862    2   2   0         4
                25.83         11.67        4.0044    1   1   1         4
                26.67         13.52        3.8809   -1   3   1         4
                30.62         57.90        3.3904    1   3   1         4
                30.75          4.91        3.3763    0   4   1         4
                31.40         44.32        3.3080    2   4   0         4
                32.52         69.10        3.1971    3   1   0         4
                33.79          8.69        3.0804   -3   1   1         4
                34.42          2.73        3.0257   -2   4   1         4
                35.10         36.99        2.9684    2   2   1         4
                35.45          4.38        2.9404   -1   5   1         4
                36.51         17.79        2.8575    3   3   0         4
                37.66         28.73        2.7733   -3   3   1         4
                38.59         94.79        2.7090    1   5   1         4
                40.47         55.42        2.5880    0   6   1         4
                40.63          2.39        2.5782    2   4   1         4
                41.11          1.35        2.5498    0   0   2         2
                41.23         73.49        2.5423   -2   0   2         2
                43.11          5.87        2.4364    4   0   0         2
                43.55          8.27        2.4131    3   5   0         4
                44.38         14.25        2.3701   -4   2   1         4
                44.55         31.08        2.3617   -3   5   1         4
                45.68          1.09        2.3062    1   1   2         4
                45.88         10.53        2.2968   -1   7   1         4
                45.91         21.80        2.2951   -3   1   2         4
                46.17          1.13        2.2832    3   3   1         4
                46.83          1.05        2.2526    0   8   0         2
                47.69          6.60        2.2141   -2   4   2         4
                48.46          3.80        2.1813    1   7   1         4
                48.68         41.20        2.1717    2   6   1         4
                48.98          6.23        2.1593   -3   3   2         4
                49.74          3.99        2.1285   -1   5   2         4
                51.69         21.34        2.0535    2   0   2         2
                52.00         14.06        2.0418   -4   0   2         2
                52.15         14.05        2.0366    3   5   1         4
                52.67          2.28        2.0177    3   7   0         4
                53.54          1.73        1.9874   -3   7   1         4
                54.31          3.56        1.9614    1   9   0         4
                54.36          1.80        1.9595    4   2   1         4
                54.74          4.05        1.9472   -3   5   2         4
                55.02          5.66        1.9379    5   1   0         4
                56.17          9.77        1.9016   -4   6   1         4
                57.25          1.55        1.8686    2   4   2         4
                57.43          5.20        1.8631   -1   9   1         4
                57.54          2.78        1.8598   -4   4   2         4
                57.74          1.94        1.8540    5   3   0         4
                58.14          1.14        1.8423   -1   7   2         4
                58.44          1.85        1.8338    4   4   1         4
                59.57          5.76        1.8021    0  10   0         2
                59.65          3.02        1.7998    1   9   1         4
================================================================================
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
