      Hydroxylchondrodite
      Lager G A, Ulmer P, Miletich R, Marshall W G
      American Mineralogist 86 (2001) 176-180
      O-D...O bond geometry in OD-chondrodite
      _database_code_amcsd 0002625
      CELL PARAMETERS:   4.7471 10.3489  7.9023  108.678   90.000   90.000
      SPACE GROUP: P2_1/b    
      X-RAY WAVELENGTH:     1.790290
      Cell Volume:    367.771
      Density (g/cm3):      3.085
      MAX. ABS. INTENSITY / VOLUME**2:      2.111040101    
      RIR:      0.319
      RIR based on corundum from Acta Crystallographica A38 (1982) 733-739
               2-THETA      INTENSITY    D-SPACING   H   K   L   Multiplicity
                13.74         13.34        7.4861    0   0   1         2
                21.04          1.22        4.9019    0   2   0         2
                21.14         74.37        4.8791    0  -2   1         2
                25.80         30.60        4.0090    1   0   1         4
                26.16          6.23        3.9561    1  -1   1         4
                27.67         33.07        3.7430    0   0   2         2
                28.75         42.58        3.6057    0   2   1         2
                28.97         29.95        3.5786    0  -2   2         2
                29.58         44.94        3.5061    1   1   1         4
                30.44         36.27        3.4101    1   2   0         4
                30.51          8.46        3.4024    1  -2   1         4
                34.33         78.57        3.0331    1  -1   2         4
                35.46         10.24        2.9393    1   0   2         4
                36.51         17.00        2.8576    1  -2   2         4
                37.61         68.21        2.7770    1  -3   1         4
                38.85         76.22        2.6918    1   3   0         4
                39.66        100.00        2.6388    1   1   2         4
                40.27          1.27        2.6003    0   2   2         2
                40.55          1.50        2.5833    0  -2   3         2
                41.55         99.97        2.5236    1  -3   2         4
                42.04         12.59        2.4954    0   0   3         2
                42.84         18.58        2.4510    0   4   0         2
                43.05         11.65        2.4396    0  -4   2         2
                44.91         63.13        2.3438    1   3   1         4
                45.66         26.80        2.3069    2   1   0         4
                45.83         64.55        2.2990    1  -1   3         4
                46.22         60.36        2.2805    1   2   2         4
                46.41         74.83        2.2717    1  -4   1         4
                46.47         67.69        2.2691    1  -2   3         4
                46.82          6.31        2.2529    2  -1   1         4
                48.98         17.73        2.1593    2   1   1         4
                49.66          2.22        2.1317    1  -3   3         4
                49.93         11.02        2.1208    0  -4   3         2
                52.20          6.75        2.0347    1   1   3         4
                52.23          7.11        2.0335    2  -1   2         4
                53.68          1.10        1.9826    2   2   1         4
                54.01          1.95        1.9714    0  -2   4         2
                54.63          6.95        1.9507    2  -3   1         4
                56.40          8.11        1.8943    1  -5   1         4
                57.15          1.17        1.8715    0   0   4         2
                57.48          7.27        1.8615    1  -5   2         4
                58.61          4.52        1.8289    1   2   3         4
                58.90          3.56        1.8207    1  -2   4         4
                59.20          7.44        1.8123    1   5   0         4
                59.30          8.26        1.8096    1  -1   4         4
================================================================================
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
