      Hydroxylapatite
      Wilson R M, Elliot J C, Dowker S E P
      American Mineralogist 84 (1999) 1406-1414
      Rietveld refinement of the crystallographic structure of human dental
      enamel apatites
      Sample: RHB - enamel
      _database_code_amcsd 0002295
      CELL PARAMETERS:   9.4616  9.4616  6.8819   90.000   90.000  120.000
      SPACE GROUP: P6_3/m    
      X-RAY WAVELENGTH:     1.790290
      Cell Volume:    533.541
      Density (g/cm3):      2.984
      MAX. ABS. INTENSITY / VOLUME**2:      9.263326553    
      RIR:      1.449
      RIR based on corundum from Acta Crystallographica A38 (1982) 733-739
               2-THETA      INTENSITY    D-SPACING   H   K   L   Multiplicity
                12.54         15.32        8.1940    1   0   0         6
                19.56          5.01        5.2698    1   0   1        12
                21.81          1.02        4.7308    1   1   0         6
                25.24          4.09        4.0970    2   0   0         6
                26.55          6.97        3.8985    1   1   1        12
                29.46          1.37        3.5204    2   0   1        12
                30.16         33.18        3.4409    0   0   2         2
                32.78          6.83        3.1726    1   0   2        12
                33.60         15.36        3.0970    2   1   0         6
                36.96         29.87        2.8242    1   2   1        12
                36.96         70.13        2.8242    2   1   1        12
                37.53         52.11        2.7827    1   1   2        12
                38.26         65.62        2.7313    3   0   0         6
                39.72         23.25        2.6349    2   0   2        12
                41.29          4.06        2.5387    3   0   1        12
                45.77          3.07        2.3019    2   1   2        12
                46.39         17.15        2.2726    1   3   0         6
                46.39          3.92        2.2726    3   1   0         6
                47.18          1.02        2.2370    2   2   1        12
                49.01          1.16        2.1580    3   1   1        12
                49.01          5.22        2.1580    1   3   1        12
                49.47          1.44        2.1393    3   0   2        12
                51.40          4.09        2.0641    1   1   3        12
                53.13          3.27        2.0016    2   0   3        12
                54.67         28.71        1.9493    2   2   2        12
                56.33          7.01        1.8963    1   3   2        12
                56.33          5.20        1.8963    3   1   2        12
                56.87          1.30        1.8798    2   3   0         6
                58.10         23.09        1.8434    2   1   3        12
                58.10          8.37        1.8434    1   2   3        12
                59.16          2.84        1.8134    3   2   1        12
                59.16          2.24        1.8134    2   3   1        12
================================================================================
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
