      Triploidite
      Waldrop L
      Zeitschrift fur Kristallographie 131 (1970) 1-20
      The crystal structure of triploidite and its relation to the structures
      of other minerals of the triplite-triploidite group
      Refinement with all F_o's, this is the better refinement
      Locality: Branchville, Connecticut, USA
      _database_code_amcsd 0010707
      CELL PARAMETERS:  12.3660 13.2760  9.9430   90.000  108.230   90.000
      SPACE GROUP: P2_1/a    
      X-RAY WAVELENGTH:     1.790290
      Cell Volume:   1550.422
      Density (g/cm3):      3.792
      MAX. ABS. INTENSITY / VOLUME**2:      9.043466731    
      RIR:      1.113
      RIR based on corundum from Acta Crystallographica A38 (1982) 733-739
               2-THETA      INTENSITY    D-SPACING   H   K   L   Multiplicity
                17.54          1.72        5.8727    2   0   0         2
                21.86          2.17        4.7220    0   0   2         2
                23.39          4.23        4.4159   -2   0   2         2
                23.47         10.64        4.4013   -2   2   1         4
                26.08          4.00        3.9680   -1   2   2         4
                27.58          2.33        3.7552    3   1   0         4
                28.22         40.08        3.6715    2   2   1         4
                29.34          1.56        3.5342    2   3   0         4
                30.45         29.96        3.4085    1   2   2         4
                30.79          1.66        3.3723    3   2   0         4
                31.29          4.84        3.3190    0   4   0         2
                32.19          1.49        3.2290    0   3   2         4
                32.27         71.18        3.2207    2   0   2         2
                32.71          5.36        3.1792   -3   2   2         4
                33.32          1.02        3.1227    2   3   1         4
                33.49         90.41        3.1069   -1   4   1         4
                35.45        100.00        2.9398   -4   0   2         2
                35.50          9.25        2.9363    4   0   0         2
                35.55          2.37        2.9323    3   3   0         4
                36.09         22.42        2.8895    2   4   0         4
                36.39          1.68        2.8670    4   1   0         4
                36.69         61.55        2.8443    0   2   3         4
                37.25         20.38        2.8025   -4   2   1         4
                38.50         14.14        2.7153    0   4   2         4
                39.44         15.78        2.6532   -2   4   2         4
                39.78          1.12        2.6312    3   3   1         4
                40.61         38.03        2.5793   -3   4   1         4
                42.41         23.48        2.4749   -2   0   4         2
                42.86          2.46        2.4498    3   2   2         4
                43.57          4.24        2.4119   -4   2   3         4
                43.64          6.43        2.4081    4   2   1         4
                44.56          7.57        2.3610    0   0   4         2
                44.90          1.31        2.3439   -1   4   3         4
                45.18          2.68        2.3303    3   4   1         4
                45.48          4.84        2.3159    2   2   3         4
                45.52         16.15        2.3139   -1   2   4         4
                45.57          7.61        2.3113    2   4   2         4
                46.23          5.91        2.2800   -5   2   2         4
                47.15          2.23        2.2381   -3   2   4         4
                47.94          2.38        2.2035    4   0   2         2
                48.00          4.96        2.2007   -4   4   2         4
                48.04          1.04        2.1992    4   4   0         4
                49.03          1.32        2.1573    1   1   4         4
                49.10         19.03        2.1543    0   6   1         4
                49.15         10.33        2.1524    1   4   3         4
                51.22         10.58        2.0709   -2   6   1         4
                51.80          9.49        2.0493   -6   0   2         2
                52.46          1.39        2.0253   -6   1   2         4
                52.48          1.42        2.0244   -6   1   1         4
                52.61          5.06        2.0200   -1   6   2         4
                53.58         15.24        1.9861    2   0   4         2
                53.64          5.51        1.9840   -2   4   4         4
                53.83          2.51        1.9774    2   6   1         4
                54.22          2.53        1.9642    2   1   4         4
                54.42          2.64        1.9576    6   0   0         2
                54.43         18.50        1.9573   -6   2   1         4
                55.38          2.70        1.9263    3   6   0         4
                55.46          1.73        1.9239    0   4   4         4
                56.88          3.32        1.8797   -6   2   3         4
                57.44          1.10        1.8629    5   1   2         4
                57.45          4.53        1.8624   -5   4   3         4
                57.73          1.36        1.8543   -1   7   1         4
                58.28          9.65        1.8383   -4   4   4         4
                59.04          4.65        1.8167    0   2   5         4
                59.25          1.05        1.8108   -6   0   4         2
                59.27          3.87        1.8102    0   6   3         4
                59.32          1.51        1.8090    2   5   3         4
                59.38          6.43        1.8072   -4   2   5         4
                59.50          1.40        1.8040    4   2   3         4
                59.54          2.61        1.8028    3   4   3         4
                59.67          8.95        1.7993   -4  -6   1         4
                59.94          6.61        1.7920    5   4   1         4
================================================================================
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
